,G,T1,T2,T3,T4,T5,T6,T7,T8,T9
273,0.5462992125984252,400.0,399.2078834,398.5298184,397.9633131,397.5047307,397.15111,396.9001568,396.750237,396.7003723
274,0.13374803149606299,400.0,394.7062528,390.1592139,386.3433181,383.2432453,380.846033,379.141322,378.1215597,377.7821526
275,0.5280905511811024,400.0,398.9999859,398.1441458,397.4289641,396.8499324,396.4033742,396.0864369,395.8970868,395.8341053
276,0.3087755905511811,400.0,396.563805,393.6181142,391.1505515,389.1488395,387.6027571,386.5042432,385.8474789,385.6289493
277,0.13722047244094487,400.0,394.7423834,390.2265535,386.4369803,383.3583803,380.9778262,379.2849896,378.2723417,377.9353043
278,0.18021259842519685,400.0,395.1921077,391.0645408,387.6022937,384.790612,382.6170657,381.071756,380.1474848,379.8398827
279,0.2202755905511811,400.0,395.6152094,391.8525768,388.6977388,386.1365649,384.1571947,382.7502114,381.9087833,381.6287696
280,0.6766811023622047,400.0,400.7225718,401.336939,401.8494364,402.2637968,402.5830219,402.8094148,402.9446039,402.9895595
281,0.5238582677165354,400.0,398.9517898,398.0547238,397.3050552,396.6980785,396.2299548,395.8977046,395.6992032,395.6331774
282,0.4691771653543307,400.0,398.3333428,396.9068389,395.7139816,394.7476938,394.0021714,393.4728914,393.1566185,393.0514101
283,0.5119251968503937,400.0,398.8161544,397.8030427,396.9562799,396.2706154,395.7417605,395.3663837,395.1421077,395.0675072
284,0.3720551181102362,400.0,397.2540581,394.9017151,392.9325382,391.3360035,390.1034014,389.227895,388.7045671,388.5304544
285,0.547255905511811,400.0,399.2188308,398.5501245,397.9914444,397.5392004,397.1904696,396.9429879,396.7951424,396.7459677
286,0.8650275590551181,400.0,402.9937299,405.5365454,407.6527899,409.3607075,410.6747052,411.6056808,412.1612598,412.345955
287,0.39280708661417324,400.0,397.4826305,395.3265607,393.5220973,392.0593739,390.9302407,390.1283106,389.6489949,389.4895305
288,0.567996062992126,400.0,399.4567608,398.9913926,398.6026878,398.2880965,398.0455468,397.8734362,397.7706244,397.7364294
289,0.5238385826771653,400.0,398.9515657,398.0543081,397.3044791,396.6973725,396.2291485,395.8968271,395.6982832,395.6322432
290,0.8140472440944881,400.0,402.369078,404.3826525,406.0595172,407.4135039,408.4555891,409.1941076,409.6349085,409.7814592
291,0.1976220472440945,400.0,395.3754885,391.4061328,388.0771877,385.374154,383.2848366,381.7995361,380.9112068,380.6155745
292,0.6445787401574803,400.0,400.3453432,400.6382976,400.8827706,401.0804896,401.2328482,401.3409179,401.4054579,401.4269211
293,0.602,400.0,399.8493481,399.7192261,399.6105833,399.5226829,399.454928,399.4068582,399.3781465,399.3685976
294,0.31222047244094486,400.0,396.6011224,393.6875341,391.2469531,389.267188,387.7380925,386.6516665,386.0021364,385.786015
